GEOID,route_id,n_stops,best_headway_min,total_trips,route_short_name,route_long_name,route_type
12086009602,28819,5,90.0,10,NMBEACD,City of North Miami Beach Purple Rt,3
12086009602,30408,22,20.0,136,17,163 ST TERM-VIZ VIA 17 AV,3
12086009602,30449,8,22.5,64,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009602,30719,10,10.588235294117647,85,77,NORWOOD - DOWNTOWN VIA NW 7 AVE,3
12086009703,30435,3,60.0,9,95,I-95 GOLDEN GLADES EXPRESS,3
12086009703,30717,7,30.0,42,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009704,23888,1,90.0,2,AVTYEL,City of Aventura Exp (Yellow),3
12086009704,28817,1,90.0,2,NMBEACB,City of North Miami Beach Gold Rt.,3
12086009704,30399,5,15.0,51,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086009704,30402,18,9.473684210526315,160,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086009704,30435,15,60.0,45,95,I-95 GOLDEN GLADES EXPRESS,3
12086009704,30449,17,22.5,126,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009704,30467,14,25.714285714285715,52,510,SKYLAKE CIRCULATOR,3
12086009704,30717,7,30.0,42,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009704,30718,5,30.0,24,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
12086009705,28817,4,90.0,8,NMBEACB,City of North Miami Beach Gold Rt.,3
12086009705,30402,12,20.0,90,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086009705,30435,4,60.0,12,95,I-95 GOLDEN GLADES EXPRESS,3
12086009705,30449,12,22.5,89,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009705,30467,33,25.714285714285715,122,510,SKYLAKE CIRCULATOR,3
12086009706,30402,6,20.0,32,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086009706,30435,3,60.0,9,95,I-95 GOLDEN GLADES EXPRESS,3
12086009706,30449,5,22.5,38,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009706,30467,21,25.714285714285715,91,510,SKYLAKE CIRCULATOR,3
12086009803,30717,10,30.0,56,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009804,30717,16,15.0,98,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009806,30717,19,15.0,120,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009809,30717,11,30.0,61,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009810,30717,11,30.0,66,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009811,30717,11,30.0,66,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009812,30467,1,25.714285714285715,7,510,SKYLAKE CIRCULATOR,3
12086009812,30717,17,15.0,108,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009903,30408,19,20.0,131,17,163 ST TERM-VIZ VIA 17 AV,3
12086009903,30415,12,15.0,76,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086009903,30435,2,60.0,6,95,I-95 GOLDEN GLADES EXPRESS,3
12086009903,30449,17,22.5,129,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009903,30717,4,30.0,22,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009904,30415,3,7.826086956521739,35,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086009904,30717,6,30.0,33,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009905,30408,25,20.0,167,17,163 ST TERM-VIZ VIA 17 AV,3
12086009905,30449,10,22.5,75,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009905,30719,11,12.0,96,77,NORWOOD - DOWNTOWN VIA NW 7 AVE,3
12086009906,28819,2,90.0,4,NMBEACD,City of North Miami Beach Purple Rt,3
12086009906,30408,19,22.5,123,17,163 ST TERM-VIZ VIA 17 AV,3
12086009906,30449,10,22.5,78,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009906,30717,3,30.0,18,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009906,30719,33,10.588235294117647,266,77,NORWOOD - DOWNTOWN VIA NW 7 AVE,3
12086009907,30717,4,30.0,24,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009908,30717,12,16.363636363636363,88,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009909,30717,4,18.0,25,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010010,30415,9,30.0,54,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
