GEOID,NAME,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct
12086001301,Census Tract 13.01; Miami-Dade County; Florida,21.5,39.6,30.3,8.6,30.0,70.0,1925,14.0,56.1,2904,91.9,8.1
12086001302,Census Tract 13.02; Miami-Dade County; Florida,10.5,44.9,26.2,18.4,51.9,48.1,1814,3.1,49.5,3427,86.3,13.7
12086001401,Census Tract 14.01; Miami-Dade County; Florida,28.0,49.4,16.6,6.0,13.8,86.2,1204,4.0,59.5,2402,88.8,11.2
12086001402,Census Tract 14.02; Miami-Dade County; Florida,21.4,58.6,13.9,6.0,20.1,79.9,1193,3.9,57.8,2501,89.9,10.1
12086001501,Census Tract 15.01; Miami-Dade County; Florida,48.5,25.5,17.6,8.5,29.9,70.1,576,4.3,42.6,1287,80.8,19.2
12086001502,Census Tract 15.02; Miami-Dade County; Florida,17.5,48.4,14.9,19.2,33.3,66.7,1062,0.3,59.9,1586,84.6,15.4
12086001603,Census Tract 16.03; Miami-Dade County; Florida,14.7,27.2,34.4,23.7,67.2,32.8,1786,2.6,24.2,1170,95.0,5.0
12086001605,Census Tract 16.05; Miami-Dade County; Florida,30.3,44.1,18.6,7.0,8.4,91.6,1094,9.6,46.3,1899,92.3,7.7
12086001606,Census Tract 16.06; Miami-Dade County; Florida,18.7,40.7,28.1,12.4,6.7,93.3,1214,13.8,42.8,1727,97.7,2.3
12086001607,Census Tract 16.07; Miami-Dade County; Florida,9.5,22.1,47.2,21.2,66.5,33.5,1286,6.0,47.4,1170,98.2,1.8
12086001608,Census Tract 16.08; Miami-Dade County; Florida,12.8,27.1,25.4,34.7,70.3,29.7,1663,10.2,51.9,950,97.6,2.4
12086001701,Census Tract 17.01; Miami-Dade County; Florida,8.1,39.7,32.8,19.3,43.1,56.9,1237,7.2,52.7,1820,94.7,5.3
12086001702,Census Tract 17.02; Miami-Dade County; Florida,10.8,52.1,19.8,17.3,33.9,66.1,1376,2.8,74.4,1485,89.9,10.1
12086001704,Census Tract 17.04; Miami-Dade County; Florida,17.7,39.4,24.6,18.2,49.8,50.2,1315,3.5,44.8,861,88.6,11.4
12086001705,Census Tract 17.05; Miami-Dade County; Florida,6.1,37.1,48.7,8.1,8.4,91.6,1399,6.0,40.9,731,94.7,5.3
12086001801,Census Tract 18.01; Miami-Dade County; Florida,20.8,32.9,28.1,18.2,46.8,53.2,1208,8.2,52.8,1885,89.6,10.4
12086001802,Census Tract 18.02; Miami-Dade County; Florida,13.0,46.8,31.0,9.1,40.4,59.6,1715,2.2,63.9,1644,96.1,3.9
12086001803,Census Tract 18.03; Miami-Dade County; Florida,31.1,55.6,3.3,9.9,15.2,84.8,527,29.3,39.1,1710,80.6,19.4
12086001901,Census Tract 19.01; Miami-Dade County; Florida,25.5,56.3,14.1,4.1,18.8,81.2,1201,7.4,54.6,2390,84.7,15.3
12086001903,Census Tract 19.03; Miami-Dade County; Florida,33.7,47.8,15.5,3.0,16.9,83.1,1193,11.7,50.9,1567,82.1,17.9
12086001904,Census Tract 19.04; Miami-Dade County; Florida,19.7,52.6,17.0,10.7,23.4,76.6,1529,11.3,71.0,1852,86.2,13.8
12086002001,Census Tract 20.01; Miami-Dade County; Florida,31.4,51.6,13.0,4.0,11.0,89.0,731,8.5,54.7,1573,83.0,17.0
12086002003,Census Tract 20.03; Miami-Dade County; Florida,29.9,53.5,13.0,3.5,16.1,83.9,1246,10.7,66.0,1495,86.7,13.3
12086002004,Census Tract 20.04; Miami-Dade County; Florida,31.7,45.7,7.4,15.2,17.6,82.4,1288,7.5,66.3,1186,88.1,11.9
12086002100,Census Tract 21; Miami-Dade County; Florida,10.0,53.5,21.1,15.4,52.1,47.9,2142,16.6,42.7,1569,75.8,24.2
12086002201,Census Tract 22.01; Miami-Dade County; Florida,5.0,48.4,41.3,5.3,29.6,70.4,2018,11.8,59.2,1263,90.8,9.2
12086002202,Census Tract 22.02; Miami-Dade County; Florida,11.5,31.7,50.2,6.7,55.1,44.9,1639,13.5,46.0,2028,77.7,22.3
12086002300,Census Tract 23; Miami-Dade County; Florida,26.0,30.0,32.9,11.0,53.1,46.9,1565,9.2,59.7,2150,84.3,15.7
12086002402,Census Tract 24.02; Miami-Dade County; Florida,14.8,48.7,24.1,12.4,34.9,65.1,1339,10.7,58.5,1989,94.6,5.4
12086002403,Census Tract 24.03; Miami-Dade County; Florida,20.9,27.2,27.7,24.2,23.4,76.6,1536,13.7,48.8,1410,97.9,2.1
12086002404,Census Tract 24.04; Miami-Dade County; Florida,26.1,53.6,16.8,3.5,12.1,87.9,1170,6.3,62.1,2553,91.3,8.7
12086002501,Census Tract 25.01; Miami-Dade County; Florida,15.1,48.4,28.1,8.4,24.5,75.5,1343,6.4,72.4,2017,95.5,4.5
12086002502,Census Tract 25.02; Miami-Dade County; Florida,29.2,34.2,30.7,5.9,31.9,68.1,1321,12.9,71.6,1209,93.1,6.9
12086002600,Census Tract 26; Miami-Dade County; Florida,17.9,57.3,22.9,1.9,20.7,79.3,2081,4.9,51.9,3553,75.7,24.3
12086002702,Census Tract 27.02; Miami-Dade County; Florida,15.4,57.9,24.8,1.9,4.4,95.6,2519,12.6,51.7,3313,82.9,17.1
12086002705,Census Tract 27.05; Miami-Dade County; Florida,19.9,41.8,32.7,5.5,24.2,75.8,2801,22.9,43.2,2895,79.3,20.7
12086002707,Census Tract 27.07; Miami-Dade County; Florida,2.6,80.2,17.2,0.0,42.3,57.7,2723,7.5,57.1,1809,81.1,18.9
12086002708,Census Tract 27.08; Miami-Dade County; Florida,2.1,65.7,31.5,0.7,17.4,82.6,2246,12.2,29.2,1827,93.1,6.9
12086002709,Census Tract 27.09; Miami-Dade County; Florida,8.5,74.4,14.5,2.5,49.3,50.7,2325,7.7,39.1,3666,74.1,25.9
12086002710,Census Tract 27.10; Miami-Dade County; Florida,7.8,59.8,26.6,5.9,54.6,45.4,2422,2.2,37.2,1640,69.8,30.2
12086002800,Census Tract 28; Miami-Dade County; Florida,26.7,65.6,6.2,1.6,2.9,97.1,1783,4.4,63.4,636,80.8,19.2
12086002900,Census Tract 29; Miami-Dade County; Florida,23.4,38.1,27.5,11.1,22.9,77.1,1391,3.6,62.9,1639,95.2,4.8
12086003001,Census Tract 30.01; Miami-Dade County; Florida,35.0,43.3,16.4,5.3,19.1,80.9,1161,15.5,57.3,1712,84.2,15.8
12086003004,Census Tract 30.04; Miami-Dade County; Florida,26.5,53.7,18.4,1.3,6.0,94.0,1363,16.6,54.8,2633,93.8,6.2
12086003005,Census Tract 30.05; Miami-Dade County; Florida,18.0,57.9,20.5,3.7,18.4,81.6,1303,0.0,81.8,742,96.0,4.0
12086003006,Census Tract 30.06; Miami-Dade County; Florida,21.7,36.8,25.8,15.7,18.1,81.9,1459,2.9,57.3,1817,95.9,4.1
12086003100,Census Tract 31; Miami-Dade County; Florida,25.3,32.3,15.5,26.9,15.3,84.7,990,11.1,32.4,2066,89.4,10.6
12086003400,Census Tract 34; Miami-Dade County; Florida,44.7,38.2,12.9,4.3,0.0,100.0,1320,11.2,61.3,2034,87.2,12.8
12086003603,Census Tract 36.03; Miami-Dade County; Florida,23.7,57.1,15.8,3.4,7.4,92.6,1380,15.0,50.7,1199,84.9,15.1
12086003604,Census Tract 36.04; Miami-Dade County; Florida,32.1,43.9,20.7,3.3,6.7,93.3,1641,16.6,47.7,1549,79.5,20.5
12086003605,Census Tract 36.05; Miami-Dade County; Florida,35.4,42.3,18.4,3.9,12.2,87.8,1352,11.9,54.3,1772,87.0,13.0
12086003606,Census Tract 36.06; Miami-Dade County; Florida,45.2,44.3,7.4,3.1,0.0,100.0,1116,23.0,47.9,1374,95.8,4.2
12086003607,Census Tract 36.07; Miami-Dade County; Florida,14.3,62.4,22.6,0.7,14.2,85.8,1368,13.9,66.0,989,95.4,4.6
12086003703,Census Tract 37.03; Miami-Dade County; Florida,17.9,69.5,10.1,2.4,31.2,68.8,2652,4.5,33.3,2282,75.2,24.8
12086003704,Census Tract 37.04; Miami-Dade County; Florida,39.8,48.4,11.8,0.0,15.8,84.2,2130,14.9,44.2,1322,67.7,32.3
12086003705,Census Tract 37.05; Miami-Dade County; Florida,9.3,61.8,24.9,4.0,51.4,48.6,2683,5.9,53.1,1413,71.3,28.7
12086003706,Census Tract 37.06; Miami-Dade County; Florida,35.1,59.0,5.9,0.0,0.0,100.0,2433,16.2,51.9,854,83.4,16.6
12086003707,Census Tract 37.07; Miami-Dade County; Florida,22.3,67.3,10.4,0.0,27.8,72.2,2419,7.2,46.0,1643,70.5,29.5
12086003708,Census Tract 37.08; Miami-Dade County; Florida,0.0,77.4,22.6,0.0,41.1,58.9,2808,7.1,65.8,817,74.8,25.2
12086003709,Census Tract 37.09; Miami-Dade County; Florida,7.0,59.2,27.1,6.7,16.9,83.1,1959,16.6,49.0,839,92.3,7.7
12086003710,Census Tract 37.10; Miami-Dade County; Florida,7.3,62.7,28.4,1.5,16.0,84.0,2873,4.2,57.0,4283,80.6,19.4
