GEOID,NAME,total_population,median_age,under_18_pct,age_65_plus_pct,hispanic_latino_pct,white_alone_nh_pct,black_alone_nh_pct,asian_alone_or_combo_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,foreign_born_pct
12086000107,Census Tract 1.07; Miami-Dade County; Florida,2950.0,48.3,16.7,23.4,37.8,52.4,1.6,4.7,66.3,1.6,22.7,0.0
12086000807,Census Tract 8.07; Miami-Dade County; Florida,4013.0,51.2,13.3,19.8,91.5,4.3,0.9,1.4,32.0,0.9,66.3,0.0
12086000808,Census Tract 8.08; Miami-Dade County; Florida,3948.0,45.2,14.5,23.3,94.8,3.7,0.3,0.0,36.2,1.4,53.0,0.0
12086000903,Census Tract 9.03; Miami-Dade County; Florida,3590.0,35.0,29.6,13.9,51.3,0.8,46.8,0.0,8.7,46.8,29.6,0.0
12086000904,Census Tract 9.04; Miami-Dade County; Florida,2491.0,44.1,19.7,18.5,71.3,1.5,27.2,0.0,16.3,33.8,32.6,0.0
12086000905,Census Tract 9.05; Miami-Dade County; Florida,3803.0,43.8,12.3,20.2,79.0,2.6,17.3,0.0,16.3,22.0,46.1,0.0
12086000906,Census Tract 9.06; Miami-Dade County; Florida,1686.0,45.4,6.5,22.1,81.0,0.1,14.7,0.0,30.1,27.5,30.1,1.2
12086000907,Census Tract 9.07; Miami-Dade County; Florida,2073.0,37.8,19.7,18.9,95.0,0.1,4.9,0.0,10.4,8.3,63.0,0.0
12086000908,Census Tract 9.08; Miami-Dade County; Florida,3286.0,53.2,12.6,25.3,97.0,0.0,0.0,0.0,33.4,1.5,44.1,0.0
12086001003,Census Tract 10.03; Miami-Dade County; Florida,6116.0,42.7,20.0,16.6,43.4,0.7,54.7,0.0,11.8,57.7,12.8,0.0
12086001004,Census Tract 10.04; Miami-Dade County; Florida,7400.0,34.7,24.7,13.5,45.0,2.0,52.5,0.0,6.9,52.9,11.6,0.0
12086001005,Census Tract 10.05; Miami-Dade County; Florida,1598.0,57.2,10.2,37.1,24.2,4.6,66.1,2.9,7.9,66.1,13.6,0.0
12086001006,Census Tract 10.06; Miami-Dade County; Florida,4637.0,34.9,29.0,16.7,36.9,3.1,55.6,2.7,3.5,56.3,16.6,1.2
12086001007,Census Tract 10.07; Miami-Dade County; Florida,3619.0,38.3,25.6,13.5,30.6,2.6,66.0,0.0,6.3,66.4,7.5,0.0
12086001008,Census Tract 10.08; Miami-Dade County; Florida,3425.0,38.2,29.7,13.2,30.6,3.8,65.0,0.0,5.9,66.3,13.0,0.0
12086001101,Census Tract 11.01; Miami-Dade County; Florida,5026.0,39.5,22.9,14.3,52.3,12.8,23.6,8.4,31.8,25.5,28.0,0.0
12086001102,Census Tract 11.02; Miami-Dade County; Florida,5930.0,27.3,16.8,11.4,28.1,16.8,48.5,3.9,27.1,49.7,15.8,0.7
12086001103,Census Tract 11.03; Miami-Dade County; Florida,4849.0,34.1,27.9,10.6,23.0,14.1,61.7,0.5,18.3,62.4,12.3,0.1
12086001104,Census Tract 11.04; Miami-Dade County; Florida,4817.0,41.0,26.4,14.7,29.9,45.9,13.6,7.2,51.9,13.7,26.1,0.4
12086001204,Census Tract 12.04; Miami-Dade County; Florida,6097.0,40.6,25.1,21.0,52.5,22.5,20.3,0.9,47.1,20.9,22.3,2.3
12086001205,Census Tract 12.05; Miami-Dade County; Florida,2441.0,40.3,29.4,13.4,43.7,33.1,15.5,5.1,62.4,15.5,16.3,0.7
12086001206,Census Tract 12.06; Miami-Dade County; Florida,4251.0,43.8,23.2,19.8,28.9,55.2,3.3,1.8,64.3,3.6,16.1,9.5
12086001207,Census Tract 12.07; Miami-Dade County; Florida,2042.0,20.4,46.9,4.3,34.0,20.1,41.1,2.0,28.3,41.1,24.3,1.7
12086001208,Census Tract 12.08; Miami-Dade County; Florida,3008.0,41.2,16.1,13.6,28.5,2.9,58.9,1.6,17.1,59.4,12.6,4.4
12086001209,Census Tract 12.09; Miami-Dade County; Florida,3929.0,34.0,26.2,4.9,43.9,5.7,48.8,0.3,15.0,50.4,23.7,1.0
12086001301,Census Tract 13.01; Miami-Dade County; Florida,5785.0,34.2,22.3,10.6,31.8,20.7,45.7,0.4,31.0,46.5,19.7,0.4
12086001302,Census Tract 13.02; Miami-Dade County; Florida,5809.0,43.4,12.2,22.6,48.5,30.8,10.8,3.3,49.0,12.2,28.1,0.0
