GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086004608,"Census Tract 46.08, Miami-Dade County, Florida",58.0,3.2,71.6,3.3,5.0,14.7,22.7,121528,188292,71438,3.6,5.6,4.5,5.1,5.6,7.8,9.7,14.8,10.9,32.4,7.2,2.7,6.3,5.7,46.9,36.6,10.8,60.2,39.8,2071,10.1,30.0,1036,72.6,27.4,1980,40.4,29.0,16.0,98.4,0.0,0.0,0.0,66.8,51.5,2019
12086004701,"Census Tract 47.01, Miami-Dade County, Florida",66.1,1.2,85.1,2.0,0.4,4.7,30.0,77560,112086,42672,0.5,3.6,7.8,5.7,14.0,14.4,13.0,13.5,9.2,18.4,4.3,7.7,5.1,3.5,28.0,41.4,27.0,78.1,21.9,1298,0.0,25.8,1969,87.0,13.0,4769,44.7,19.9,19.2,95.7,0.9,0.3,0.7,70.5,41.7,2019
12086004702,"Census Tract 47.02, Miami-Dade County, Florida",64.2,3.7,84.9,1.2,2.9,5.9,21.9,51012,74699,27934,7.4,6.0,7.9,14.3,14.0,15.9,7.7,15.6,4.4,6.9,12.9,19.3,14.1,6.2,39.7,33.8,20.3,46.8,53.2,1122,4.7,55.4,2303,92.1,7.9,6158,43.1,18.4,16.0,94.4,1.2,0.0,1.8,76.7,57.8,2019
12086004703,"Census Tract 47.03, Miami-Dade County, Florida",61.3,3.1,82.8,3.4,0.2,6.3,28.4,56090,71194,26024,6.8,2.2,8.6,11.0,14.8,19.4,12.4,15.0,6.3,3.5,14.4,21.5,14.6,6.7,40.2,32.2,20.9,44.1,55.9,1138,11.5,49.7,1951,93.6,6.4,5530,46.1,17.8,21.4,92.7,3.6,0.5,2.2,83.7,60.3,2019
12086004901,"Census Tract 49.01, Miami-Dade County, Florida",60.5,3.2,82.4,3.7,1.3,3.6,27.3,29590,38090,16512,14.8,6.8,21.3,16.5,14.4,10.8,11.5,3.9,0.0,0.0,27.2,42.1,24.5,14.2,54.7,28.0,3.1,5.7,94.3,1137,9.5,57.4,1566,92.2,7.8,3825,41.7,20.6,14.5,90.6,9.0,0.4,0.0,90.0,73.7,2019
12086004902,"Census Tract 49.02, Miami-Dade County, Florida",58.6,6.0,77.5,8.7,0.7,2.8,28.4,36285,50314,19162,10.5,6.8,21.0,11.0,10.7,17.1,11.1,7.2,2.1,2.7,34.3,40.1,18.4,16.3,35.3,34.9,13.6,36.6,63.4,1373,6.8,71.0,2659,85.6,14.4,6935,44.5,15.4,25.5,94.6,2.1,2.4,0.0,96.2,78.0,2019
12086005001,"Census Tract 50.01, Miami-Dade County, Florida",55.8,3.4,89.6,3.0,2.6,0.0,28.0,34975,50150,16894,7.2,10.3,15.8,16.8,7.4,18.9,14.9,6.6,2.3,0.0,17.7,40.6,24.4,12.3,30.6,41.2,15.8,61.0,39.0,1553,9.6,58.2,2400,95.6,4.4,7657,45.1,17.0,17.7,92.9,2.3,1.5,0.0,97.1,69.0,2019
12086005002,"Census Tract 50.02, Miami-Dade County, Florida",56.4,5.0,82.0,5.3,1.2,1.3,31.8,31504,40365,16184,14.7,7.1,20.0,13.5,14.5,20.1,3.9,5.0,0.5,0.8,22.9,37.9,15.0,11.8,41.5,32.7,13.9,35.5,64.5,1119,7.4,70.0,2083,94.0,6.0,5427,44.3,17.3,23.7,95.8,3.5,0.0,0.0,96.4,73.3,2019
12086005102,"Census Tract 51.02, Miami-Dade County, Florida",49.1,3.6,76.5,6.6,2.2,2.0,30.5,14848,36701,20055,34.9,15.5,9.6,9.0,2.1,14.9,2.4,9.3,2.0,0.4,38.3,49.5,18.9,38.4,38.6,16.2,6.9,21.0,79.0,288,18.9,33.7,2283,88.0,12.0,3954,53.3,12.8,34.5,89.0,7.6,1.3,0.0,82.4,67.1,2019
12086005103,"Census Tract 51.03, Miami-Dade County, Florida",58.5,5.3,76.5,4.0,2.3,0.9,31.7,26199,39337,15403,21.9,6.8,17.7,11.2,11.8,19.2,5.1,4.8,0.0,1.6,30.6,50.4,24.2,18.7,43.9,25.7,11.8,22.6,77.4,1065,10.5,53.5,1032,95.5,4.5,2993,41.2,21.8,19.5,89.6,6.4,0.3,0.3,98.3,73.6,2019
