tract_geoid,deficit_actual,deficit_predicted,residual,risk_tier
12086005903,0.40917513044986975,0.41358745,-0.004412320531270386,Moderate
12086005904,0.4010864492798632,0.42030472,-0.019218266353529134,Moderate
12086006004,0.5293143820960291,0.5555069,-0.026192502955698194,High
12086006002,0.3363986187343314,0.35266048,-0.01626185842707606,Low
12086006106,0.5287773024711786,0.5706963,-0.04191899183653014,High
12086006104,0.5076730656969791,0.5468825,-0.03920944448826258,High
12086006201,0.4339535634073017,0.42158633,0.012367228701948896,Moderate
12086006203,0.24434953625092862,0.32618344,-0.08183390205015781,Low
12086006205,0.37839490086198085,0.35434824,0.024046658579113422,Low
12086006206,0.2358860623797025,0.3583447,-0.12245864153303249,Low
12086006304,0.5891232567472431,0.5963343,-0.0072110218362835266,Critical
12086006302,0.37276986502137,0.37716943,-0.004399565234519898,Moderate
12086006401,0.3903927703827491,0.38736725,0.0030255218475928602,Moderate
12086006402,0.3916125008598237,0.39897606,-0.007363556908044355,Moderate
12086006403,0.39359177418824337,0.380833,0.012758774243556481,Moderate
12086006501,0.30771169233997087,0.32989898,-0.022187290900156698,Low
12086006503,0.3171107460617782,0.32914189,-0.01203113898041236,Low
12086006504,0.4049778190728269,0.40592402,-0.0009462031248965164,Moderate
12086006608,0.5015402267078197,0.56605816,-0.064517932166692,High
12086006606,0.5608720707129068,0.5505278,0.01034425966249175,High
12086006715,0.4422856254371581,0.53361744,-0.09133181144867564,High
12086006705,0.38420494634448976,0.37299842,0.011206529920692154,Moderate
12086006706,0.32836092630763264,0.32417175,0.0041891745700380345,Low
12086006709,0.37380157764366856,0.34337854,0.030423033789908793,Low
12086006721,0.4861895516896352,0.5296503,-0.04346071924923811,High
12086006713,0.5101476821544241,0.5222806,-0.012132891690485592,High
12086006714,0.32137334550493923,0.32563993,-0.004266587842762792,Low
12086006801,0.31566357895235386,0.33161655,-0.015952971731621357,Low
12086006802,0.3186519213099319,0.2903873,0.0282646186728317,Low
12086006901,0.5680720591064343,0.61026186,-0.04218979840317871,Critical
12086007004,0.5070199937389438,0.5470952,-0.040075185818856496,High
12086007006,0.4853355150950893,0.51684487,-0.031509353564883824,High
12086007101,0.39577696272356777,0.44300747,-0.04723050645367832,High
12086007103,0.4924659301658865,0.48915508,0.0033108462711569087,High
12086007104,0.382593754139411,0.4046205,-0.022026744279396993,Moderate
12086007200,0.4257706605873036,0.40194592,0.023824741788856962,Moderate
12086007300,0.35975733167056995,0.3834095,-0.023652168451500366,Moderate
12086007403,0.5744021894312118,0.58013433,-0.005732142748811397,Critical
12086007501,0.34612088710584976,0.37815142,-0.03203052967271469,Moderate
12086007503,0.5732339061762144,0.5977718,-0.02453791723000509,Critical
