tract_geoid,tract_2010,block_count,auto_jobs_30_mean,transit_jobs_30_mean,bike_safe_jobs_30_mean,walk_jobs_20_mean,auto_jobs_30_std,transit_jobs_30_std,time_tax_minutes_mean,time_tax_minutes_median,pct_blocks_never_viable,stop_count,route_count,daily_trip_count,peak_trips,midday_trips,evening_trips,late_trips,wheelchair_pct,poverty_rate_pct,hh_no_vehicle_pct,snap_benefits_pct,rent_burden_50pct_plus,unemployment_rate_pct,ind_1_transit_dependency,ind_2_temporal_mismatch,ind_3_structural_gap,ind_4_time_tax,ind_5_service_coverage,ind_6_economic_vulnerability,ind_7_multimodal_deficit,composite_need,composite_access_deficit,equity_priority_score,equity_percentile,equity_tier,transit_desert,multimodal_desert,shift_worker_proxy,low_income_share,peak_offpeak_ratio,institutional_tract
12086015002,12086015000,127,1014888.4881889764,4145.8031496062995,1267.8031496062993,1003.0472440944882,77975.82862136414,1340.7469017652722,39.84251968503937,40.0,0.0,7.0,2.0,129.0,14.0,32.0,24.0,13.0,0.0,12.6,1.1,19.2,71.1,5.4,0.06753333032714115,0.0509508849500317,0.7198475400171715,0.6633703155355418,0.6637537485679628,0.29585872346907693,0.9858880339728636,0.18169602689810904,0.6167621046087144,0.11206322394871931,61.328125,Moderate,0,0,0.3,7.8,0.6086956521739131,False
12086981300,12086015100,169,816426.6094674557,1129.3550295857988,294.35502958579883,263.1301775147929,105989.15425483926,647.3392275960663,58.84615384615385,60.0,0.8224852071005917,3.0,2.0,51.0,7.0,8.0,11.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.11968480523342256,0.9291299312987071,0.9826390626650874,0.6740693021766966,0.25,0.996782568625312,0.125,0.7404611339998451,0.09255764174998064,45.3125,Moderate,0,1,0.3,0.0,0.875,True
12086015201,12086015200,88,639421.0340909091,1104.3181818181818,316.375,276.35227272727275,62287.70176569126,849.8149703338677,57.44318181818182,60.0,0.6818181818181818,3.0,2.0,132.0,16.0,32.0,25.0,12.0,0.0,3.9,0.0,13.5,21.6,1.9,0.019436282873062725,0.07339461402215931,0.8862327473778867,0.9590685646313493,0.671617486016578,0.11236409961296731,0.9967324550288577,0.06590019124301502,0.7174091734153661,0.047277401727565956,9.375,Low,0,1,0.3,7.3,0.6956521739130435,False
12086015300,12086015300,85,756683.0588235294,3323.247058823529,922.7176470588236,822.5882352941177,55134.00968125039,1078.078724330622,43.88235294117647,45.0,0.011764705882352941,7.0,2.0,167.0,19.0,41.0,30.0,15.0,0.0,8.7,2.0,12.4,59.7,4.3,0.052913925031077114,0.06491297222164595,0.7058480008342994,0.7312411496804317,0.6626035138261788,0.23141501698204756,0.9890453276836844,0.14216447100656232,0.630730192849248,0.08966742421428038,42.578125,Moderate,0,0,0.3,8.5,0.6627906976744186,False
12086015400,12086015400,69,959510.7536231884,5949.057971014493,2231.8840579710145,1320.1014492753623,89334.75990660499,962.4551767111942,33.6231884057971,35.0,0.0,22.0,3.0,322.0,37.0,79.0,58.0,31.0,0.0,8.1,3.7,19.7,54.5,3.4,0.057733816219036574,0.06437704430567943,0.6392064637588614,0.5588830322784101,0.6188716950827774,0.23188743497737607,0.9785392579497724,0.14481062559820632,0.5719754986751001,0.08282812978998727,35.546875,Low,0,0,0.3,5.3,0.6607142857142857,False
12086015501,12086015500,83,1054735.8072289156,7200.084337349397,5558.265060240964,2423.975903614458,52560.29286087478,1673.8087296737876,31.50602409638554,30.0,0.0,6.0,2.0,226.0,25.0,56.0,38.0,17.0,0.0,12.5,9.5,18.6,100.0,5.8,0.10594568667148614,0.06823862220829213,0.6206066383354693,0.5233138147907178,0.6628062594065188,0.36823835234645635,0.9631426061044195,0.23709201950897124,0.5676215881690835,0.13457854865589758,76.7578125,High,0,0,0.3,19.6,0.6756756756756757,False
12086015600,12086015600,45,785211.5555555555,8747.111111111111,3707.0444444444443,1673.2222222222222,72309.49483252077,3802.7325774442193,29.333333333333332,30.0,0.0,6.0,2.0,114.0,17.0,24.0,21.0,8.0,0.0,5.3,1.9,14.9,32.9,6.0,0.03483194540596783,0.14220793429047512,0.5259581031951894,0.4868117304031422,0.6661964249612508,0.1698236908026133,0.9675540390546621,0.10232781810429056,0.5577456463809439,0.057072895051329196,14.2578125,Low,0,0,0.3,4.6,0.9622641509433961,False
12086015700,12086015700,67,865033.2089552239,6300.626865671642,3700.0746268656717,1845.9701492537313,140199.2120269796,2451.7523654911697,32.61194029850746,30.0,0.0,17.0,6.0,503.0,67.0,114.0,91.0,36.0,0.0,10.3,0.3,6.8,81.6,1.9,0.05151852855511621,0.10910901277386449,0.6080761886053769,0.5418936546933517,0.5957045482624616,0.2632780734120939,0.9720477085870983,0.15739830098360508,0.5653662225844307,0.08898768286830809,41.2109375,Moderate,0,0,0.3,8.5,0.8340248962655602,False
12086015800,12086015800,52,781502.1153846154,3529.2884615384614,666.3846153846154,349.15384615384613,54393.71262493192,1193.967276073696,37.59615384615385,40.0,0.0,3.0,1.0,28.0,3.0,8.0,6.0,0.0,0.0,3.6,0.6,16.1,62.9,3.5,0.020802951809403898,0.05976806422836753,0.7004595368564686,0.6256304600481569,0.6839760232046185,0.23007890333209213,0.9906167528287569,0.125440927570748,0.6120901674332737,0.07678115835976432,29.4921875,Low,0,0,0.3,8.399999999999999,0.6428571428571428,False
12086015900,12086015900,45,747595.1333333333,5290.7555555555555,1350.0444444444445,1000.4888888888889,40913.56574069514,1278.7242604812948,34.333333333333336,35.0,0.0,7.0,3.0,222.0,23.0,56.0,41.0,20.0,0.0,11.6,2.3,20.4,19.5,4.2,0.06834254802720698,0.04605930297277312,0.6136388193857796,0.5708137545483024,0.6517281740683334,0.16093228225178566,0.9833460147799565,0.11463741513949632,0.5731172131510289,0.0657006758875857,19.3359375,Low,0,0,0.3,12.6,0.5897435897435898,False
